full_name,final_score,occupation,city,state,state_id,archive_info,date,dt_indx,winner_flg
Michael Bilow,26401,a Ph.D. student in computer science originally,Chicago,Illinois,IL,J! Archive - Show #7036,3/30/15,1,1
Michael Bilow,12401,a Ph.D. student in computer science originally,Chicago,Illinois,IL,J! Archive - Show #7035,3/27/15,2,1
Colin Gleeson,12399,a retail manager,Chicago,Illinois,IL,J! Archive - Show #7027,3/17/15,3,0
Will Gilbert,599,a retail manager,St. Louis,Missouri,MO,J! Archive - Show #7329,6/23/16,2,0
Mary Fellman,400,a retail manager,Los Alamos,New Mexico,NM,J! Archive - Show #8011,6/10/19,3,0
Elan Sherbill,17200,an e-commerce blogger,Chicago,Illinois,IL,J! Archive - Show #6974,1/1/15,3,0
Michael Oliphant,22356,an acupuncturist,Chicago,Illinois,IL,J! Archive - Show #6960,12/12/14,3,0
Jason Newell,6600,a quality analyst,Chicago,Illinois,IL,J! Archive - Show #6932,11/4/14,2,1
Carol McGhee,100,a police officer,Chicago,Illinois,IL,J! Archive - Show #6912,10/7/14,3,0
Darren O'Connor,20000,a police officer,Norfolk,Virginia,VA,J! Archive - Show #6859,6/12/14,1,0
Darren O'Connor,14400,a police officer,Norfolk,Virginia,VA,J! Archive - Show #6858,6/11/14,2,1
Joe Keehnast,2600,a web product manager,Chicago,Illinois,IL,J! Archive - Show #6859,6/12/14,3,0
Sami Siegelbaum,1100,a professor of art history,Chicago,Illinois,IL,J! Archive - Show #6850,5/30/14,2,0
Colby Burnett,4099,an AP world history teacher,Chicago,Illinois,IL,J! Archive - Show #6838,5/14/14,3,0
Colby Burnett,11000,an AP world history teacher,Chicago,Illinois,IL,J! Archive - Show #6835,5/9/14,3,1
Colby Burnett,16201,an AP world history teacher,Chicago,Illinois,IL,J! Archive - Show #6806,3/31/14,1,1
Sean Sullivan,15199,a database coordinator,Chicago,Illinois,IL,J! Archive - Show #6791,3/10/14,3,0
Padraic Connelly,4519,an actor,Chicago,Illinois,IL,J! Archive - Show #6782,2/25/14,2,0
Carlos Nobleza Posas,0,an actor,Salt Lake City,Utah,UT,J! Archive - Show #7612,10/17/17,2,0
Jacob Johnson,5200,an actor,Murray,Utah,UT,J! Archive - Show #7083,6/3/15,1,0
Jacob Johnson,17201,an actor,Murray,Utah,UT,J! Archive - Show #7082,6/2/15,2,1
James Pelayo,10,a tax professional,Torrance,California,CA,J! Archive - Show #8041,7/22/19,2,0
Tom Nosek,2400,an aerospace consultant,Torrance,California,CA,J! Archive - Show #6832,5/6/14,1,0
Cristina Somolinos,211,a forensic scientist,Bordentown,New Jersey,NJ,J! Archive - Show #8041,7/22/19,3,0
Alyssa Mondelli,11200,a forensic scientist,St. Paul,Minnesota,MN,J! Archive - Show #7571,7/10/17,2,0
Nathan Kaplan,6336,a math professor,Los Angeles,California,CA,J! Archive - Show #8040,7/19/19,1,0
Nathan Kaplan,19600,a math professor,Los Angeles,California,CA,J! Archive - Show #8039,7/18/19,3,1
Dan Lee,0,a math professor,New York,New York,NY,J! Archive - Show #7720,3/16/18,2,0
Matthew Swanson,19201,a Ph.D student,Los Angeles,California,CA,J! Archive - Show #8007,6/4/19,2,0
Kevin Donohue,15593,a principal,Los Angeles,California,CA,J! Archive - Show #7977,4/23/19,3,0
Marshall Shelburne,2445,a computer programmer,Los Angeles,California,CA,J! Archive - Show #7965,4/5/19,3,0
John Schultz,6000,a computer programmer,Ann Arbor,Michigan,MI,J! Archive - Show #7171,11/16/15,2,0
John Schultz,15000,a computer programmer,Ann Arbor,Michigan,MI,J! Archive - Show #7168,11/11/15,2,1
John Schultz,5201,a computer programmer,Ann Arbor,Michigan,MI,J! Archive - Show #6984,1/15/15,1,0
John Schultz,19500,a computer programmer,Ann Arbor,Michigan,MI,J! Archive - Show #6983,1/14/15,1,1
John Schultz,11000,a computer programmer,Ann Arbor,Michigan,MI,J! Archive - Show #6982,1/13/15,1,1
John Schultz,16400,a computer programmer,Ann Arbor,Michigan,MI,J! Archive - Show #6981,1/12/15,1,1
John Schultz,30000,a computer programmer,Ann Arbor,Michigan,MI,J! Archive - Show #6980,1/9/15,1,1
John Schultz,27600,a computer programmer,Ann Arbor,Michigan,MI,J! Archive - Show #6979,1/8/15,3,1
Brian Worthington,3901,a computer programmer,Lewisville,Texas,TX,J! Archive - Show #7239,2/18/16,2,0
Brad Rutter,8400,an actor and producer,Los Angeles,California,CA,J! Archive - Show #7933,2/20/19,3,1
Josh Duggan,3999,a production coordinator,Los Angeles,California,CA,J! Archive - Show #7925,2/8/19,2,0
Christopher Records,0,a nonprofit consultant,Los Angeles,California,CA,J! Archive - Show #7915,1/25/19,2,0
Charlie Jensen,17900,a program director,Los Angeles,California,CA,J! Archive - Show #7906,1/14/19,2,0
Amy Ramsay,50,a program director,Medford,Massachusetts,MA,J! Archive - Show #7359,9/15/16,3,0
Amy Ramsay,50,a program director,Medford,Massachusetts,MA,J! Archive - Show #7359,9/15/16,3,0
Jonathan Dinerstein,5999,a composer,Los Angeles,California,CA,J! Archive - Show #7901,1/7/19,1,0
Jonathan Dinerstein,30399,a composer,Los Angeles,California,CA,J! Archive - Show #7900,1/4/19,1,1
Jonathan Dinerstein,22401,a composer,Los Angeles,California,CA,J! Archive - Show #7899,1/3/19,1,1
Jonathan Dinerstein,24001,a composer,Los Angeles,California,CA,J! Archive - Show #7898,1/2/19,1,1
Jonathan Dinerstein,16500,a composer,Los Angeles,California,CA,J! Archive - Show #7897,1/1/19,3,1
Jackie Fuchs,0,an attorney and writer,Los Angeles,California,CA,J! Archive - Show #7889,12/20/18,1,0
Jackie Fuchs,28400,an attorney and writer,Los Angeles,California,CA,J! Archive - Show #7888,12/19/18,1,1
Jackie Fuchs,24600,an attorney and writer,Los Angeles,California,CA,J! Archive - Show #7887,12/18/18,1,1
Jackie Fuchs,19889,an attorney and writer,Los Angeles,California,CA,J! Archive - Show #7886,12/17/18,1,1
Jackie Fuchs,14200,an attorney and writer,Los Angeles,California,CA,J! Archive - Show #7885,12/14/18,2,1
Laura Hite,6799,an arts administrator,Los Angeles,California,CA,J! Archive - Show #7855,11/2/18,2,0
Olivia Ochoa,700,an arts administrator,Seattle,Washington,WA,J! Archive - Show #7677,1/16/18,2,0
Amanda Harvey,2801,an arts administrator,Newton,Massachusetts,MA,J! Archive - Show #7458,2/1/17,3,0
Patrick Wyman,11800,a history podcaster and writer,Los Angeles,California,CA,J! Archive - Show #7839,10/11/18,2,0
Rob Salerno,5,a writer-actor,Los Angeles,California,CA,J! Archive - Show #7826,9/24/18,1,0
Rob Salerno,22100,a writer-actor,Los Angeles,California,CA,J! Archive - Show #7825,9/21/18,2,1
Jon Brown,1,a bartender,Los Angeles,California,CA,J! Archive - Show #7785,6/15/18,3,0
Nick Lasik,0,a bartender,Portland,Oregon,OR,J! Archive - Show #6878,7/9/14,3,0
Austin Rogers,200,a bartender,New York,New York,NY,J! Archive - Show #7635,11/17/17,3,0
Austin Rogers,6500,a bartender,New York,New York,NY,J! Archive - Show #7634,11/16/17,3,0
Austin Rogers,14500,a bartender,New York,New York,NY,J! Archive - Show #7631,11/13/17,2,1
Austin Rogers,14500,a bartender,New York,New York,NY,J! Archive - Show #7631,11/13/17,2,1
Austin Rogers,16000,a bartender,New York,New York,NY,J! Archive - Show #7628,11/8/17,1,0
Austin Rogers,33150,a bartender,New York,New York,NY,J! Archive - Show #7609,10/12/17,1,0
Austin Rogers,16300,a bartender,New York,New York,NY,J! Archive - Show #7608,10/11/17,1,1
Austin Rogers,29300,a bartender,New York,New York,NY,J! Archive - Show #7607,10/10/17,1,1
Austin Rogers,33000,a bartender,New York,New York,NY,J! Archive - Show #7606,10/9/17,1,1
Austin Rogers,25500,a bartender,New York,New York,NY,J! Archive - Show #7605,10/6/17,1,1
Austin Rogers,28600,a bartender,New York,New York,NY,J! Archive - Show #7604,10/5/17,1,1
Austin Rogers,20600,a bartender,New York,New York,NY,J! Archive - Show #7603,10/4/17,1,1
Austin Rogers,69000,a bartender,New York,New York,NY,J! Archive - Show #7602,10/3/17,1,1
Austin Rogers,65600,a bartender,New York,New York,NY,J! Archive - Show #7601,10/2/17,1,1
Austin Rogers,27000,a bartender,New York,New York,NY,J! Archive - Show #7600,9/29/17,1,1
Austin Rogers,36200,a bartender,New York,New York,NY,J! Archive - Show #7599,9/28/17,1,1
Austin Rogers,23900,a bartender,New York,New York,NY,J! Archive - Show #7598,9/27/17,1,1
Austin Rogers,36000,a bartender,New York,New York,NY,J! Archive - Show #7597,9/26/17,3,1
Jim Eckess,800,a bartender,State College,Pennsylvania,PA,J! Archive - Show #7638,11/22/17,2,0
Kalen Meine,0,a bartender,Littleton,Colorado,CO,J! Archive - Show #7377,10/11/16,3,0
Pete Tachibana,0,a bartender,North Highlands,California,CA,J! Archive - Show #7447,1/17/17,3,0
Lynsey McMullen,0,a bartender,Parker,Colorado,CO,J! Archive - Show #7193,12/16/15,3,0
Tom Flynn,0,a bartender,Goshen,New York,NY,J! Archive - Show #7156,10/26/15,3,0
Jean Parker,3800,a bartender,Montgomery,Alabama,AL,J! Archive - Show #6962,12/16/14,2,0
Dan Hess,13000,a wine and spirits distributor,Los Angeles,California,CA,J! Archive - Show #7775,6/1/18,3,1
Tim Young,19000,a filmmaker,Los Angeles,California,CA,J! Archive - Show #7772,5/29/18,3,0
James Rodrigues,0,a filmmaker,New York,New York,NY,J! Archive - Show #7896,12/31/18,1,0
James Rodrigues,27400,a filmmaker,New York,New York,NY,J! Archive - Show #7895,12/28/18,3,1
Julie Sesnovich,20200,a film data coordinator,Los Angeles,California,CA,J! Archive - Show #7755,5/4/18,3,0
Robert Dimitri,9000,a management and production assistant,Los Angeles,California,CA,J! Archive - Show #7728,3/28/18,1,0
Robert Dimitri,23601,a management and production assistant,Los Angeles,California,CA,J! Archive - Show #7727,3/27/18,3,1
Kate Tucci,2500,a blogger,Los Angeles,California,CA,J! Archive - Show #7705,2/23/18,2,0
Tyler Johnson,7700,a blogger,Buffalo,New York,NY,J! Archive - Show #6930,10/31/14,3,0
Carlos Garcia,100,an immigration attorney,Los Angeles,California,CA,J! Archive - Show #7695,2/9/18,2,0
Carl Falstrom,3999,an immigration attorney,New Orleans,Louisiana,LA,J! Archive - Show #7463,2/8/17,2,0
Jennifer Tomassi,200,a freelance writer,Los Angeles,California,CA,J! Archive - Show #7686,1/29/18,1,0
Jennifer Tomassi,20401,a freelance writer,Los Angeles,California,CA,J! Archive - Show #7685,1/26/18,2,1
Salomé Gonstad,32800,a freelance writer,Hanceville,Alabama,AL,J! Archive - Show #8009,6/6/19,3,0
Jason Mangano,14400,a freelance writer,Fords,New Jersey,NJ,J! Archive - Show #7997,5/21/19,3,0
Catherine Biba,6600,a freelance writer,Geneva,Nebraska,NE,J! Archive - Show #7704,2/22/18,2,0
Randi Rae Arnold,6000,a freelance writer,Kalamazoo,Michigan,MI,J! Archive - Show #7374,10/6/16,2,0
Ryan Graham,6000,an account manager,Los Angeles,California,CA,J! Archive - Show #7679,1/18/18,2,0
Gwynedd Stuart,3601,a writer and editor,Los Angeles,California,CA,J! Archive - Show #7665,12/29/17,3,0
Gavin Borchert,35700,a writer and editor,Seattle,Washington,WA,J! Archive - Show #7576,7/17/17,1,0
Gavin Borchert,20800,a writer and editor,Seattle,Washington,WA,J! Archive - Show #7575,7/14/17,1,1
Gavin Borchert,9800,a writer and editor,Seattle,Washington,WA,J! Archive - Show #7574,7/13/17,1,1
Gavin Borchert,19600,a writer and editor,Seattle,Washington,WA,J! Archive - Show #7573,7/12/17,2,1
Christy Karras,7899,a writer and editor,Seattle,Washington,WA,J! Archive - Show #7455,1/27/17,1,0
Christy Karras,30600,a writer and editor,Seattle,Washington,WA,J! Archive - Show #7454,1/26/17,2,1
Pam Platt,9400,a writer and editor,Louisville,Kentucky,KY,J! Archive - Show #7341,7/11/16,1,0
Pam Platt,27600,a writer and editor,Louisville,Kentucky,KY,J! Archive - Show #7340,7/8/16,3,1
Michelle Sheffer,0,a writer and editor,Philadelphia,Pennsylvania,PA,J! Archive - Show #6791,3/10/14,2,0
